YEAR,MONTH,DATE,PETROL PRICE RS./LIT
2017,May,01-May-17,68.09
2017,May,01-May-17,68.09
2017,June,01-Jun-17,66.91
2017,July,01-Jul-17,63.09
2017,August,01-Aug-17,65.40
2017,September,01-Sep-17,69.26
2017,October,01-Oct-17,70.76
2017,November,01-Nov-17,69.14
2017,December,01-Dec-17,69.22
2018,January,01-Jan-18,69.97
2018,February,01-Feb-18,73.05
2018,March,01-Mar-18,71.57
2018,April,01-Apr-18,73.73
2018,May,01-May-18,74.63
2018,July,01-Jun-18,78.29
2018,July,01-Jul-18,75.55
2018,August,01-Aug-18,76.31
2018,September,01-Sep-18,78.68
2018,October,01-Oct-18,83.73
2018,November,01-Nov-18,79.39
2018,December,01-Dec-18,72.53
2019,January,01-Jan-19,68.65
2019,February,01-Feb-19,70.94
2019,March,01-Mar-19,71.81
2019,April,01-Apr-19,72.86
2019,May,01-May-19,73.13
2019,June,01-Jun-19,71.62
2019,July,01-Jul-19,70.44
2019,August,01-Aug-19,72.80
2019,September,01-Sep-19,71.77
2019,October,01-Oct-19,74.61
2019,November,01-Nov-19,72.86
2019,December,01-Dec-19,74.91
2020,January,01-Jan-20,75.14
2020,February,01-Feb-20,73.19
2020,March,01-Mar-20,71.49
2020,April,01-Apr-20,69.59
2020,May,01-May-20,69.59
2020,June,01-Jun-20,71.26
2020,July,01-Jul-20,80.43
2020,August,01-Aug-20,80.43
2020,September,01-Sep-20,82.08
2020,October,01-Oct-20,81.06
2020,November,01-Nov-20,81.06
2020,December,01-Dec-20,82.34
2021,January,01-Jan-21,83.71
2021,February,01-Feb-21,86.30
2021,March,01-Mar-21,91.17
2021,April,01-Apr-21,90.56
2021,May,01-May-21,90.40
2021,June,01-Jun-21,94.49
2021,July,01-Jul-21,98.81
2021,August,01-Aug-21,101.84
2021,September,01-Sep-21,101.34
2021,October,01-Oct-21,101.89
2021,November,01-Nov-21,109.69
2021,December,01-Dec-21,95.41
2022,January,01-Jan-22,95.41
2022,February,01-Feb-22,95.41
2022,March,01-Mar-22,95.41
2022,April,01-Apr-22,101.81
2022,May,01-May-22,105.41
2022,June,01-Jun-22,89.62
2022,July,01-Jul-22,96.72
2022,August,01-Aug-22,96.72
2022,September,01-Sep-22,96.72
2022,October,01-Oct-22,96.72
2022,November,01-Nov-22,96.72
2023,May,01-May-23,96.72
